  Teams,Goals Scored,Goals Conceded,Shots on Target per Match,Possession (%),xG,xG Conceded,Accurate Passes per Match,Corners,Big Chances Created,Big Chances Missed,Fouls per Match,Yellow Cards,Red Cards,Shots,Clean Sheets,Games Played,Points
Manchester City,22,13,6.7,64.1,22.3,13.4,581.5,102,32,20,7.2,23,0,212,2,11,23
Liverpool,21,6,6,57.4,20.5,9.5,462.6,63,41,24,11.8,21,0,155,6,11,28
Tottenham Hotspur,23,13,6.3,61.7,21.7,13.2,456.9,102,36,24,11.8,26,0,189,2,11,16
Arsenal,18,12,4.9,50.2,17.3,12.5,371.8,72,37,25,12.6,29,3,171,4,12,19
Chelsea,23,14,5.3,55.6,22.5,16.3,435.7,73,37,22,11.6,45,0,170,3,12,19
Aston Villa,17,17,3.9,50.6,16.8,14.8,383.3,72,41,28,12.4,30,1,153,1,12,18
Brentford,22,22,5.4,47.1,18.3,20.9,342.3,53,37,22,13.8,17,1,132,1,12,16
Brighton & Hove Albion,19,15,4.7,54.1,16.5,19.9,402.8,60,36,18,11.1,27,1,165,4,12,19
Fulham,16,13,5.5,53.5,17.1,17.1,417.3,54,35,17,10.9,19,1,182,2,12,18
Crystal Palace,8,15,4.9,45.9,14,19.6,310.3,56,30,18,10.9,27,1,171,2,12,7
West Ham United,13,19,4.5,45.6,15.7,18.7,332.5,54,25,17,13,27,2,148,1,11,12
Leicester City,15,23,3.2,46.6,12.4,23.2,332.1,54,25,15,11.4,34,0,117,1,12,10
Ipswich Town,12,22,3,40.6,10.2,24.6,283.7,54,23,12,12.6,31,2,108,1,11,8
Southampton,7,21,3.1,38.7,12.1,23,271.8,41,21,15,11.8,37,2,113,1,11,4
Wolverhampton Wanderers,16,27,4.3,44.4,11.7,21.1,308.3,37,22,22,13.1,27,0,125,1,12,6
Newcastle United,13,13,4.2,48.9,16.5,14,352.5,61,23,23,11.3,27,1,139,3,11,18
Nottingham Forest,15,13,5.2,41.6,14.6,12.8,280.6,59,28,20,11.2,28,2,164,4,12,19
Everton,10,17,3.9,38.7,12.2,17.2,271.8,55,21,16,10.9,18,1,158,4,12,10
Bournemouth,15,15,4.7,44.2,19,15.7,303.8,76,35,20,13.8,34,0,186,1,12,15
Manchester United,12,12,5.2,52.1,17.5,14.8,417.5,61,32,26,11.3,33,1,154,5,11,15